أهلا	Hello
Are you well	هل أنت بخير
هل أنت جاهز	Are you ready?
Are you ready?	هل أنت جاهز
هل تفهم	do you understand
do you understand	هل تفهم
هل تسمعني	Do you hear me
Do you hear me	هل تسمعني
هل رأيت ذلك	Did you see that?
Did you see that?	هل رأيت ذلك
هل تحتاج شيئا	Do you need anything?
Do you need anything?	هل تحتاج شيئا
ماذا تريد مني	What do you want from me
What do you want from me	ماذا تريد مني
ماذا تريد أن تفعل	What do you want to do?
What do you want to do?	ماذا تريد أن تفعل
أين تريد الذهاب	Where do you want to go?
Where do you want to go?	أين تريد الذهاب
متى سنبدأ	When will we start?
When will we start?	متى سنبدأ
متى سنعود	When will we come back?
When will we come back?	متى سنعود
هل انتهيت	Are you done
Are you done	هل انتهيت
هل انتهى الأمر	Is it over?
Is it over?	هل انتهى الأمر
هل يمكنني المساعدة	Can I help?
Can I help?	هل يمكنني المساعدة
هل يمكن أن تساعدني	Could you help me?
Could you help me?	هل يمكن أن تساعدني
أحتاج مساعدة	I need help
I need help	أحتاج مساعدة
ساعدني	Help me
Help me	ساعدني
ساعده	Help him
Help him	ساعده
ساعدها	Help her
Help her	ساعدها
ساعدهم	Help them
Help them	ساعدهم
انتظر	I am waiting
I am waiting	انتظر
انتظر قليلا	Wait a little while
Wait a little while	انتظر قليلا
انتظر لحظة	Wait a minute
Wait a minute	انتظر لحظة
انتظر هنا	Wait here
Wait here	انتظر هنا
انتظرني	Wait for me
Wait for me	انتظرني
تعال	Come here
Come here	تعال
تعال هنا	Come here
Come here	تعال هنا
تعال معي	Come with me
Come with me	تعال معي
تعال بسرعة	Come quickly
Come quickly	تعال بسرعة
اذهب	Go
Go	اذهب
اذهب هناك	Go there
Go there	اذهب هناك
اذهب الآن	Go now
Go now	اذهب الآن
اذهب معي	Go with me
Go with me	اذهب معي
ارجع	Come back
Come back	ارجع
ارجع هنا	Come back here
Come back here	ارجع هنا
ارجع للخلف	Go back
Go back	ارجع للخلف
توقف	to stop
to stop	توقف
توقف هنا	Stop here
Stop here	توقف هنا
توقف الآن	Stop now
Stop now	توقف الآن
لا تتحرك	Don't move
Don't move	لا تتحرك
تحرك	move
move	تحرك
تحرك بسرعة	Move quickly
Move quickly	تحرك بسرعة
تحرك للأمام	Move forward
Move forward	تحرك للأمام
تحرك للخلف	Move back
Move back	تحرك للخلف
اسرع	faster
faster	اسرع
لا تسرع	Don't rush
Don't rush	لا تسرع
اهدأ	calm
calm	اهدأ
كن هادئا	Be calm
Be calm	كن هادئا
كن حذرا	Be careful
Be careful	كن حذرا
انتبه	I notice
I notice	انتبه
انتبه جيدا	Pay close attention
Pay close attention	انتبه جيدا
لا تقلق	Don't worry
Don't worry	لا تقلق
لا تخف	Don't be afraid
Don't be afraid	لا تخف
لا تستسلم	Don't give up
Don't give up	لا تستسلم
لا تتوقف	Don't stop
Don't stop	لا تتوقف
لا تنس	Don't forget
Don't forget	لا تنس
تذكر هذا	Remember this
Remember this	تذكر هذا
تذكر كلامي	Remember my words
Remember my words	تذكر كلامي
اسمعني	Listen to me
Listen to me	اسمعني
استمع جيدا	Listen carefully
Listen carefully	استمع جيدا
انظر	Look
Look	انظر
انظر هنا	Look here
Look here	انظر هنا
انظر هناك	Look there
Look there	انظر هناك
انظر أمامك	Look in front of you
Look in front of you	انظر أمامك
انظر خلفك	Look behind you
Look behind you	انظر خلفك
ابق هنا	Stay here
Stay here	ابق هنا
ابق معي	Stay with me
Stay with me	ابق معي
ابق قريبا	Stay close
Stay close	ابق قريبا
ابتعد	Stay away
Stay away	ابتعد
ابتعد قليلا	Move away a little
Move away a little	ابتعد قليلا
لا تقترب	Don't come close
Don't come close	لا تقترب
اقترب	Come closer
Come closer	اقترب
اقترب مني	Come closer to me
Come closer to me	اقترب مني
اتبعني	Follow me
Follow me	اتبعني
اتبع الطريق	Follow the path
Follow the path	اتبع الطريق
اتبع التعليمات	Follow the instructions
Follow the instructions	اتبع التعليمات
انتظر الإشارة	Wait for the signal
Wait for the signal	انتظر الإشارة
ابدأ	never
never	ابدأ
ابدأ الآن	Start now
Start now	ابدأ الآن
لنبدأ	Let's get started
Let's get started	لنبدأ
هيا بنا	Let's go
Let's go	هيا بنا
لنذهب	Let's go
Let's go	لنذهب
اذهب إلى الداخل	Go inside
Go inside	اذهب إلى الداخل
اخرج	Get out
Get out	اخرج
اخرج الآن	Get out now
Get out now	اخرج الآن
ادخل	Come in
Come in	ادخل
ادخل بسرعة	Get in quickly
Get in quickly	ادخل بسرعة
اجلس	Sit
Sit	اجلس
قف	Stop
Stop	قف
امش	Walk
Walk	امش
اركض	Run
Run	اركض
اقفز	Jump
Jump	اقفز
انزل	Get down
Get down	انزل
اصعد	Go up
Go up	اصعد
انعطف	turn
turn	انعطف
انعطف يمينا	Turn right
Turn right	انعطف يمينا
انعطف يسارا	Turn left
Turn left	انعطف يسارا
استمر	I continue
I continue	استمر
استمر للأمام	Continue forward
Continue forward	استمر للأمام
تابع	continued
continued	تابع
تابع السير	Keep walking
Keep walking	تابع السير
توقف عن الكلام	Stop talking
Stop talking	توقف عن الكلام
تكلم	spoke
spoke	تكلم
تحدث معي	Talk to me
Talk to me	تحدث معي
تحدث بهدوء	He spoke calmly
He spoke calmly	تحدث بهدوء
اسألني	Ask me
Ask me	اسألني
اسأله	Ask him
Ask him	اسأله
اسألها	Ask her
Ask her	اسألها
أخبرني	Tell me
Tell me	أخبرني
أخبره	Tell him
Tell him	أخبره
أخبرها	Tell her
Tell her	أخبرها
قل لي	Tell me
Tell me	قل لي
قل الحقيقة	Tell the truth
Tell the truth	قل الحقيقة
لا تكذب	Don't lie
Don't lie	لا تكذب
لا تقل شيئا	Don't say anything
Don't say anything	لا تقل شيئا
لا تتحدث	Don't talk
Don't talk	لا تتحدث
لا تلمس	Don't touch
Don't touch	لا تلمس
لا تفتح	Do not open
Do not open	لا تفتح
لا تغلق	Do not close
Do not close	لا تغلق
لا تدخل	Do not enter
Do not enter	لا تدخل
لا تخرج	Don't go out
Don't go out	لا تخرج
لا تستخدم هذا	Do not use this
Do not use this	لا تستخدم هذا
اترك هذا	Leave this
Leave this	اترك هذا
اتركه	Leave it
Leave it	اتركه
اتركها	Leave it
Leave it	اتركها
اتركهم	Leave them
Leave them	اتركهم
خذ هذا	Take this
Take this	خذ هذا
خذها	Take it
Take it	خذها
خذه	Take it
Take it	خذه
خذهم	Take them
Take them	خذهم
أعطني هذا	Give me this
Give me this	أعطني هذا
أعطني إياه	Give it to me
Give it to me	أعطني إياه
أعطني إياها	Give it to me
Give it to me	أعطني إياها
أعطني المفتاح	Give me the key
Give me the key	أعطني المفتاح
خذ المفتاح	Take the key
Take the key	خذ المفتاح
ضعه هنا	Put it here
Put it here	ضعه هنا
ضعها هنا	Put it here
Put it here	ضعها هنا
ضعه هناك	Put it there
Put it there	ضعه هناك
ضعها هناك	Put it there
Put it there	ضعها هناك
ضع كل شيء هنا	Put everything here
Put everything here	ضع كل شيء هنا
ارفعه	Raise it
Raise it	ارفعه
اخفضه	Lower it
Lower it	اخفضه
افتح	Open
Open	افتح
افتح الباب	Open the door
Open the door	افتح الباب
افتح النافذة	Open the window
Open the window	افتح النافذة
افتح الصندوق	Open the box
Open the box	افتح الصندوق
افتح القائمة	Open the menu
Open the menu	افتح القائمة
أغلق	Close
Close	أغلق
أغلق الباب	Close the door
Close the door	أغلق الباب
أغلق النافذة	Close the window
Close the window	أغلق النافذة
أغلق الصندوق	Close the box
Close the box	أغلق الصندوق
أغلق القائمة	Close the menu
Close the menu	أغلق القائمة
شغل الجهاز	Turn on the device
Turn on the device	شغل الجهاز
أوقف الجهاز	Stop the device
Stop the device	أوقف الجهاز
شغل اللعبة	Run the game
Run the game	شغل اللعبة
أوقف اللعبة	Stop the game
Stop the game	أوقف اللعبة
ابدأ اللعبة	Start the game
Start the game	ابدأ اللعبة
اخرج من اللعبة	Exit the game
Exit the game	اخرج من اللعبة
احفظ اللعبة	Save the game
Save the game	احفظ اللعبة
حمل اللعبة	Download the game
Download the game	حمل اللعبة
أعد اللعبة	Replay the game
Replay the game	أعد اللعبة
أعد المحاولة	Try again
Try again	أعد المحاولة
حاول مرة أخرى	Try again
Try again	حاول مرة أخرى
جرب مرة أخرى	Try again
Try again	جرب مرة أخرى
جرب هذا	Try this
Try this	جرب هذا
جرب شيئا آخر	Try something else
Try something else	جرب شيئا آخر
اختر	Select
Select	اختر
اختر هذا	Select this
Select this	اختر هذا
اختر خيارا	Choose an option
Choose an option	اختر خيارا
حدد	Select
Select	حدد
حدد العنصر	Select the item
Select the item	حدد العنصر
اضغط	Press
Press	اضغط
اضغط هنا	Click here
Click here	اضغط هنا
اضغط مرة أخرى	Press again
Press again	اضغط مرة أخرى
اضغط مطولا	Press and hold
Press and hold	اضغط مطولا
اسحب	Drag
Drag	اسحب
اسحب إلى اليمين	Swipe to the right
Swipe to the right	اسحب إلى اليمين
اسحب إلى اليسار	Swipe left
Swipe left	اسحب إلى اليسار
مرر للأعلى	Scroll up
Scroll up	مرر للأعلى
مرر للأسفل	Scroll down
Scroll down	مرر للأسفل
اكتب	Write
Write	اكتب
اكتب هنا	Write here
Write here	اكتب هنا
اكتب اسمك	Write your name
Write your name	اكتب اسمك
اكتب كلمة المرور	Type the password
Type the password	اكتب كلمة المرور
امسح	Delete
Delete	امسح
احذف	Delete
Delete	احذف
احذف العنصر	Delete the item
Delete the item	احذف العنصر
أضف	Add
Add	أضف
أضف عنصرا	Add an item
Add an item	أضف عنصرا
أنشئ	Created
Created	أنشئ
أنشئ حسابا	Create an account
Create an account	أنشئ حسابا
سجل الدخول	Log in
Log in	سجل الدخول
سجل الخروج	Log out
Log out	سجل الخروج
افتح الحساب	Open the account
Open the account	افتح الحساب
أغلق الحساب	Close the account
Close the account	أغلق الحساب
تسجيل الدخول	Log in
Log in	تسجيل الدخول
تسجيل الخروج	Log out
Log out	تسجيل الخروج
حساب جديد	New account
New account	حساب جديد
حساب موجود	Existing account
Existing account	حساب موجود
اسم المستخدم	Username
Username	اسم المستخدم
كلمة المرور	Password
Password	كلمة المرور
البريد الإلكتروني	Email
Email	البريد الإلكتروني
رقم الهاتف	Phone number
Phone number	رقم الهاتف
رمز التحقق	Verification code
Verification code	رمز التحقق
أدخل الرمز	Enter the code
Enter the code	أدخل الرمز
أرسل الرمز	Send the code
Send the code	أرسل الرمز
تحقق من الرمز	Check the code
Check the code	تحقق من الرمز
تأكيد	Confirmation
Confirmation	تأكيد
إلغاء	Cancel
Cancel	إلغاء
موافق	OK
OK	موافق
التالي	Next
Next	التالي
السابق	Previous
Previous	السابق
رجوع	Back
Back	رجوع
متابعة	Follow up
Follow up	متابعة
حفظ	Save
Save	حفظ
حفظ التغييرات	Save changes
Save changes	حفظ التغييرات
تجاهل	Ignore
Ignore	تجاهل
تخطي	Skip
Skip	تخطي
إعادة المحاولة	Retry
Retry	إعادة المحاولة
تحميل	Download
Download	تحميل
جار التحميل	Loading
Loading	جار التحميل
اكتمل التحميل	Download completed
Download completed	اكتمل التحميل
فشل التحميل	Upload failed
Upload failed	فشل التحميل
تثبيت	Install
Install	تثبيت
جار التثبيت	Installing
Installing	جار التثبيت
اكتمل التثبيت	Installation completed
Installation completed	اكتمل التثبيت
إزالة التثبيت	Uninstall
Uninstall	إزالة التثبيت
تحديث	Update
Update	تحديث
جار التحديث	Updating
Updating	جار التحديث
اكتمل التحديث	Update completed
Update completed	اكتمل التحديث
فشل التحديث	Update failed
Update failed	فشل التحديث
بحث	Search
Search	بحث
بحث جديد	New search
New search	بحث جديد
نتائج البحث	Search results
Search results	نتائج البحث
لا توجد نتائج	No results found
No results found	لا توجد نتائج
إظهار المزيد	Show more
Show more	إظهار المزيد
إظهار أقل	Show less
Show less	إظهار أقل
المزيد	More
More	المزيد
أقل	Less
Less	أقل
فتح القائمة	Open the menu
Open the menu	فتح القائمة
إغلاق القائمة	Close the menu
Close the menu	إغلاق القائمة
الإعدادات	Settings
Settings	الإعدادات
الخيارات	Options
Options	الخيارات
المساعدة	Help
Help	المساعدة
حول التطبيق	About the application
About the application	حول التطبيق
المعلومات	Information
Information	المعلومات
اللغة	Language
Language	اللغة
اختيار اللغة	Select the language
Select the language	اختيار اللغة
اللغة الحالية	Current language
Current language	اللغة الحالية
تغيير اللغة	Change language
Change language	تغيير اللغة
الترجمة	Translation
Translation	الترجمة
ترجمة النص	Translate the text
Translate the text	ترجمة النص
ترجمة اللعبة	Translation of the game
Translation of the game	ترجمة اللعبة
ترجمة تلقائية	Automatic translation
Automatic translation	ترجمة تلقائية
ترجمة يدوية	Manual translation
Manual translation	ترجمة يدوية
ترجمة فورية	Simultaneous translation
Simultaneous translation	ترجمة فورية
ترجمة دون اتصال	Offline translation
Offline translation	ترجمة دون اتصال
النص	Text
Text	النص
النص الأصلي	Original text
Original text	النص الأصلي
النص المترجم	Translated text
Translated text	النص المترجم
نسخ النص	Copy the text
Copy the text	نسخ النص
لصق النص	Paste the text
Paste the text	لصق النص
قص النص	Cut the text
Cut the text	قص النص
مشاركة النص	Share text
Share text	مشاركة النص
حذف النص	Delete text
Delete text	حذف النص
مسح النص	Clear text
Clear text	مسح النص
إرسال النص	Send text
Send text	إرسال النص
استلام النص	Receiving the text
Receiving the text	استلام النص
ملف جديد	New file
New file	ملف جديد
فتح ملف	Open a file
Open a file	فتح ملف
حفظ الملف	Save the file
Save the file	حفظ الملف
حذف الملف	Delete the file
Delete the file	حذف الملف
نسخ الملف	Copy the file
Copy the file	نسخ الملف
نقل الملف	File transfer
File transfer	نقل الملف
تغيير الاسم	Change name
Change name	تغيير الاسم
اسم الملف	File name
File name	اسم الملف
نوع الملف	File type
File type	نوع الملف
حجم الملف	File size
File size	حجم الملف
مسار الملف	File path
File path	مسار الملف
مجلد جديد	New folder
New folder	مجلد جديد
فتح المجلد	Open the folder
Open the folder	فتح المجلد
حذف المجلد	Delete the folder
Delete the folder	حذف المجلد
نسخ المجلد	Copy the folder
Copy the folder	نسخ المجلد
نقل المجلد	Move the folder
Move the folder	نقل المجلد
إنشاء مجلد	Create a folder
Create a folder	إنشاء مجلد
اختيار ملف	Choose a file
Choose a file	اختيار ملف
اختيار مجلد	Select a folder
Select a folder	اختيار مجلد
الملفات	files
files	الملفات
الملفات الأخيرة	Recent files
Recent files	الملفات الأخيرة
الملفات المحفوظة	Saved files
Saved files	الملفات المحفوظة
المجلدات	folders
folders	المجلدات
الذاكرة	Memory
Memory	الذاكرة
مساحة التخزين	Storage space
Storage space	مساحة التخزين
المساحة المتاحة	Available space
Available space	المساحة المتاحة
المساحة المستخدمة	Space used
Space used	المساحة المستخدمة
لا توجد مساحة كافية	There is not enough space
There is not enough space	لا توجد مساحة كافية
العملية	Process
Process	العملية
جار التنفيذ	Executing
Executing	جار التنفيذ
اكتملت العملية	The operation is completed
The operation is completed	اكتملت العملية
فشلت العملية	The operation failed
The operation failed	فشلت العملية
حدث خطأ	An error occurred
An error occurred	حدث خطأ
حدث خطأ غير متوقع	An unexpected error occurred
An unexpected error occurred	حدث خطأ غير متوقع
حاول لاحقا	Try later
Try later	حاول لاحقا
حدثت مشكلة	A problem occurred
A problem occurred	حدثت مشكلة
تعذر فتح الملف	The file could not be opened
The file could not be opened	تعذر فتح الملف
تعذر حفظ الملف	The file could not be saved
The file could not be saved	تعذر حفظ الملف
تعذر تحميل الملف	The file could not be uploaded
The file could not be uploaded	تعذر تحميل الملف
تعذر الاتصال	Unable to connect
Unable to connect	تعذر الاتصال
لا يوجد اتصال	No connection
No connection	لا يوجد اتصال
الاتصال ضعيف	The connection is weak
The connection is weak	الاتصال ضعيف
الاتصال قوي	The connection is strong
The connection is strong	الاتصال قوي
جاري الاتصال	Connecting
Connecting	جاري الاتصال
تم الاتصال	Called
Called	تم الاتصال
انقطع الاتصال	The connection was lost
The connection was lost	انقطع الاتصال
اتصال جديد	New connection
New connection	اتصال جديد
الشبكة	Network
Network	الشبكة
الإنترنت	The Internet
The Internet	الإنترنت
الخادم	Server
Server	الخادم
الخادم غير متاح	The server is unavailable
The server is unavailable	الخادم غير متاح
الخادم مشغول	The server is busy
The server is busy	الخادم مشغول
الخدمة متاحة	The service is available
The service is available	الخدمة متاحة
الخدمة غير متاحة	The service is not available
The service is not available	الخدمة غير متاحة
حدث خطأ في الخادم	A server error occurred
A server error occurred	حدث خطأ في الخادم
الطلب ناجح	The request was successful
The request was successful	الطلب ناجح
الطلب فشل	The request failed
The request failed	الطلب فشل
إرسال الطلب	Send the request
Send the request	إرسال الطلب
استلام البيانات	Receiving data
Receiving data	استلام البيانات
جاري الاتصال بالخادم	Connecting to the server
Connecting to the server	جاري الاتصال بالخادم
جاري تحميل البيانات	Loading data
Loading data	جاري تحميل البيانات
تم تحميل البيانات	Data has been loaded
Data has been loaded	تم تحميل البيانات
البيانات غير متاحة	Data not available
Data not available	البيانات غير متاحة
لا توجد بيانات	No data
No data	لا توجد بيانات
البيانات جاهزة	The data is ready
The data is ready	البيانات جاهزة
تحديث البيانات	Update data
Update data	تحديث البيانات
إعادة تحميل البيانات	Reload data
Reload data	إعادة تحميل البيانات
معلومات جديدة	New information
New information	معلومات جديدة
رسالة جديدة	New message
New message	رسالة جديدة
رسالة وصلت	A message has arrived
A message has arrived	رسالة وصلت
تم إرسال الرسالة	The message has been sent
The message has been sent	تم إرسال الرسالة
فشل إرسال الرسالة	Message failed to send
Message failed to send	فشل إرسال الرسالة
تم استلام الرسالة	Message received
Message received	تم استلام الرسالة
فشل استلام الرسالة	Failed to receive message
Failed to receive message	فشل استلام الرسالة
إشعار جديد	New notice
New notice	إشعار جديد
لديك إشعار جديد	You have a new notification
You have a new notification	لديك إشعار جديد
اقرأ الرسالة	Read the message
Read the message	اقرأ الرسالة
افتح الرسالة	Open the message
Open the message	افتح الرسالة
أغلق الرسالة	Close the message
Close the message	أغلق الرسالة
احذف الرسالة	Delete the message
Delete the message	احذف الرسالة
أرسل رسالة	Send a message
Send a message	أرسل رسالة
رد على الرسالة	Reply to the message
Reply to the message	رد على الرسالة
محادثة جديدة	New conversation
New conversation	محادثة جديدة
محادثة جماعية	Group chat
Group chat	محادثة جماعية
بدء المحادثة	Start the conversation
Start the conversation	بدء المحادثة
إنهاء المحادثة	End the conversation
End the conversation	إنهاء المحادثة
كتم الإشعارات	Mute notifications
Mute notifications	كتم الإشعارات
تفعيل الإشعارات	Activate notifications
Activate notifications	تفعيل الإشعارات
إيقاف الإشعارات	Turn off notifications
Turn off notifications	إيقاف الإشعارات
الإشعارات	Notifications
Notifications	الإشعارات
الصوت	Audio
Audio	الصوت
مستوى الصوت	Volume level
Volume level	مستوى الصوت
رفع الصوت	Raise the volume
Raise the volume	رفع الصوت
خفض الصوت	Lower the volume
Lower the volume	خفض الصوت
كتم الصوت	Mute the sound
Mute the sound	كتم الصوت
تشغيل الصوت	Play sound
Play sound	تشغيل الصوت
إيقاف الصوت	Turn off the sound
Turn off the sound	إيقاف الصوت
الموسيقى	Music
Music	الموسيقى
تشغيل الموسيقى	Play music
Play music	تشغيل الموسيقى
إيقاف الموسيقى	Stop the music
Stop the music	إيقاف الموسيقى
الصوت منخفض	The sound is low
The sound is low	الصوت منخفض
الصوت مرتفع	The sound is loud
The sound is loud	الصوت مرتفع
السطوع	Brightness
Brightness	السطوع
رفع السطوع	Increase brightness
Increase brightness	رفع السطوع
خفض السطوع	Reduce brightness
Reduce brightness	خفض السطوع
الشاشة	screen
screen	الشاشة
ملء الشاشة	Full screen
Full screen	ملء الشاشة
الخروج من ملء الشاشة	Exit full screen
Exit full screen	الخروج من ملء الشاشة
الوضع الليلي	Night mode
Night mode	الوضع الليلي
الوضع النهاري	Day mode
Day mode	الوضع النهاري
الوضع التلقائي	Automatic mode
Automatic mode	الوضع التلقائي
الإعدادات العامة	General settings
General settings	الإعدادات العامة
إعدادات اللعبة	Game settings
Game settings	إعدادات اللعبة
إعدادات الصوت	Audio settings
Audio settings	إعدادات الصوت
إعدادات الشاشة	Screen settings
Screen settings	إعدادات الشاشة
إعدادات التحكم	Control settings
Control settings	إعدادات التحكم
التحكم	Control
Control	التحكم
لوحة التحكم	Control panel
Control panel	لوحة التحكم
الأزرار	buttons
buttons	الأزرار
حركة اللاعب	Player movement
Player movement	حركة اللاعب
سرعة الحركة	Movement speed
Movement speed	سرعة الحركة
حساسية التحكم	Control sensitivity
Control sensitivity	حساسية التحكم
تغيير التحكم	Change control
Change control	تغيير التحكم
استعادة الإعدادات	Restore settings
Restore settings	استعادة الإعدادات
الإعدادات الافتراضية	Default settings
Default settings	الإعدادات الافتراضية
تطبيق التغييرات	Apply the changes
Apply the changes	تطبيق التغييرات
التغييرات محفوظة	Changes saved
Changes saved	التغييرات محفوظة
لم يتم حفظ التغييرات	Changes were not saved
Changes were not saved	لم يتم حفظ التغييرات
جاري الحفظ	Saving
Saving	جاري الحفظ
اكتمل الحفظ	Save completed
Save completed	اكتمل الحفظ
فشل الحفظ	Save failed
Save failed	فشل الحفظ
حفظ تلقائي	Auto save
Auto save	حفظ تلقائي
تحميل تلقائي	Automatic download
Automatic download	تحميل تلقائي
نسخة احتياطية	Backup copy
Backup copy	نسخة احتياطية
إنشاء نسخة احتياطية	Create a backup copy
Create a backup copy	إنشاء نسخة احتياطية
استعادة النسخة الاحتياطية	Restore the backup
Restore the backup	استعادة النسخة الاحتياطية
استعادة البيانات	Data recovery
Data recovery	استعادة البيانات
حذف البيانات	Delete data
Delete data	حذف البيانات
مسح البيانات	Clear data
Clear data	مسح البيانات
بيانات اللعبة	Game data
Game data	بيانات اللعبة
ملف الحفظ	Save file
Save file	ملف الحفظ
حفظ جديد	New save
New save	حفظ جديد
تحميل الحفظ	Loading the save
Loading the save	تحميل الحفظ
حفظ التقدم	Save progress
Save progress	حفظ التقدم
تم حفظ التقدم	Progress saved
Progress saved	تم حفظ التقدم
فقدان التقدم	Loss of progress
Loss of progress	فقدان التقدم
استمرار	Continuation
Continuation	استمرار
بدء جديد	New start
New start	بدء جديد
لعبة جديدة	New game
New game	لعبة جديدة
تحميل اللعبة	Download the game
Download the game	تحميل اللعبة
متابعة اللعبة	Continue the game
Continue the game	متابعة اللعبة
إيقاف مؤقت	Pause
Pause	إيقاف مؤقت
استئناف	Resume
Resume	استئناف
إنهاء اللعبة	Finish the game
Finish the game	إنهاء اللعبة
الخروج	Exit
Exit	الخروج
هل تريد الخروج	Do you want to go out?
Do you want to go out?	هل تريد الخروج
هل تريد الحفظ	Do you want to save?
Do you want to save?	هل تريد الحفظ
هل تريد الحذف	Do you want to delete
Do you want to delete	هل تريد الحذف
هل أنت متأكد	Are you sure?
Are you sure?	هل أنت متأكد
تأكيد الحذف	Confirm deletion
Confirm deletion	تأكيد الحذف
تم الحذف	Deleted
Deleted	تم الحذف
لم يتم الحذف	Not deleted
Not deleted	لم يتم الحذف
تم الإنشاء	created
created	تم الإنشاء
لم يتم الإنشاء	Not created
Not created	لم يتم الإنشاء
تم التعديل	Modified
Modified	تم التعديل
لم يتم التعديل	Not modified
Not modified	لم يتم التعديل
تم النسخ	Copied
Copied	تم النسخ
تم النقل	Moved
Moved	تم النقل
تمت المشاركة	Shared
Shared	تمت المشاركة
تم الإرسال	sent
sent	تم الإرسال
تم الاستلام	Received
Received	تم الاستلام
تم الحفظ	Saved
Saved	تم الحفظ
تم التحديث	Updated
Updated	تم التحديث
تم التثبيت	Installed
Installed	تم التثبيت
تم الاختيار	selected
selected	تم الاختيار
لم يتم الاختيار	Not selected
Not selected	لم يتم الاختيار
اختيار الكل	Select all
Select all	اختيار الكل
إلغاء اختيار الكل	Deselect all
Deselect all	إلغاء اختيار الكل
العنصر	Item
Item	العنصر
العناصر	Items
Items	العناصر
عنصر جديد	New item
New item	عنصر جديد
عنصر مفقود	Missing item
Missing item	عنصر مفقود
عنصر غير متاح	Item is unavailable
Item is unavailable	عنصر غير متاح
العنصر مقفل	The item is locked
The item is locked	العنصر مقفل
العنصر مفتوح	The item is open
The item is open	العنصر مفتوح
فتح العنصر	Open the item
Open the item	فتح العنصر
قفل العنصر	Lock the item
Lock the item	قفل العنصر
إلغاء القفل	Unlock
Unlock	إلغاء القفل
استخدم العنصر	Use the item
Use the item	استخدم العنصر
لا يمكنك استخدام هذا	You cannot use this
You cannot use this	لا يمكنك استخدام هذا
يمكنك استخدام هذا	You can use this
You can use this	يمكنك استخدام هذا
هذا العنصر مهم	This item is important
This item is important	هذا العنصر مهم
هذا العنصر نادر	This item is rare
This item is rare	هذا العنصر نادر
هذا العنصر متاح	This item is available
This item is available	هذا العنصر متاح
هذا العنصر غير متاح	This item is not available
This item is not available	هذا العنصر غير متاح
لديك عنصر جديد	You have a new item
You have a new item	لديك عنصر جديد
حصلت على عنصر	You obtained an item
You obtained an item	حصلت على عنصر
فقدت عنصرا	I lost an item
I lost an item	فقدت عنصرا
وجدت عنصرا	Found an item
Found an item	وجدت عنصرا
اشتريت عنصرا	You purchased an item
You purchased an item	اشتريت عنصرا
بعت عنصرا	You sold an item
You sold an item	بعت عنصرا
استبدال العنصر	Replace item
Replace item	استبدال العنصر
شراء	Buy
Buy	شراء
بيع	Sell
Sell	بيع
السعر	Price
Price	السعر
السعر مرتفع	The price is high
The price is high	السعر مرتفع
السعر منخفض	The price is low
The price is low	السعر منخفض
مجاني	Free
Free	مجاني
مدفوع	incl
incl	مدفوع
الكمية	Quantity
Quantity	الكمية
الحد الأقصى	Max
Max	الحد الأقصى
